reporter	gene	a15234.R	a15234.G	a15235.R	a15235.G	a15236.R	a15236.G	a15237.R	a15237.G	a15238.R	a15238.G	a15239.R	a15239.G	a15240.R	a15240.G	a15241.R	a15241.G	a15242.R	a15242.G	a15243.R	a15243.G	a15244.R	a15244.G	a15245.R	a15245.G	a15246.R	a15246.G	a15247.R	a15247.G	a15248.R	a15248.G	a15249.R	a15249.G	a15250.R	a15250.G	a15251.R	a15251.G	a15252.R	a15252.G	a15253.R	a15253.G
PU01478	A047P74	1117.5	2727.5	2548.5	4202	10832	24538	11641	34586	1403	2444	1637.5	2161.5	11886.5	26163	17772	27017.5	1329	1918.5	672	1332	12180.5	10970	8594.5	10234	1275.5	419	16602	3263.5	18518	2748	6619	1228.5	1192.5	593.5	13025.5	5817	12822.5	3803.5	12423.5	4036.5
PU01286	A047P60	431	664.5	1021	1062.5	4557.5	6348.5	5205.5	6112.5	469	787	724.5	556	5329.5	6552.5	8500.5	4895.5	679	1113.5	291	616.5	5232.5	5692.5	4283	5194	678.5	692.5	7234.5	7577.5	7823.5	6811.5	2934.5	3017	597.5	1025.5	4908	12756.5	5444	8160	5453.5	8502.5
PU01472	A047P14	886.5	1309	2119.5	2536	5380.5	9141	5561.5	10792	1123.5	1459.5	1296	1082.5	5128.5	8761.5	8344	8089.5	1343.5	1718.5	830.5	1236	4474	4872.5	5089	5773.5	1173	916	6999.5	7300.5	7789.5	6228.5	2580.5	2393.5	1084	1309.5	4418	9497.5	5574	6472.5	5904	7459.5
PU01280	A047P09	0	23.5	74.5	212.5	372.5	589.5	460.5	792	9	54.5	92	55	415.5	713	767	660.5	79	236	0	26	428	467	313	358	96	67	657	759.5	779	688.5	249.5	286.5	56.5	157	570	1468	495	903.5	467	932.5
PU01466	A046P36	2539	4690	5532	7290.5	13005.5	27576	13449.5	38003	3196.5	4433	3664.5	3605	12800	26657.5	19483	30641	3597	4144.5	2055.5	2998.5	10551	9205.5	10962	10995	3029	1679.5	17964.5	4556	20462.5	3806	6997	1617.5	2988.5	2047	13277	7195	13822	4931	16312	5929
PU01274	A046P26	3309	4094	6274.5	5321	208.5	628.5	233	639.5	3550	2852	5040	3180.5	290.5	731.5	437.5	682.5	4158.5	3799.5	3900	4170.5	286	331	124	306.5	3984	3061.5	397.5	313.5	529	301	117	109.5	3730.5	3323	315.5	515.5	347	324	231.5	178.5
PU01100	A033P75	119	145.5	553	569.5	2347	4659	3017	4672.5	315.5	461	302	226.5	2691.5	5147	4327	2914.5	430.5	870	118	497	3146	5937	2561.5	4756	334.5	343.5	2970.5	3115	3486.5	2683	1467	1415.5	116.5	71.5	2660.5	324	2797.5	164	2479.5	133
PU00909	A033P66	420	783.5	1350.5	1390	424	821	590	1457	874.5	920	383.5	213	496	917.5	933	1008.5	1153	1212	372	615.5	641	1104	535.5	941	648	492	648.5	474.5	808	478.5	288	216	351	376.5	504.5	1082	589	795.5	470	672
PU01094	A032P32	1978	4618.5	4953.5	7323.5	14573.5	32838.5	19184	55353.5	2852	4324.5	2613	3308.5	17256	39790	24984	38327	3675.5	3826	1442	2380	19629	15794.5	17057.5	13573	2891	995	23678	4053	25906.5	3317	9347.5	1552	2043.5	893	21017	3900	19290.5	2599.5	17915.5	2425.5
PU00903	A032P16	2169	1178	4544.5	2142.5	25408	10654	30760.5	4621.5	2818	2018	2864.5	1384	30121	12545.5	42064	2996	3768	6750	1548	4063	26632.5	52630.5	23940	46386	3210	5566.5	26656	61986	31515	59006	13008	31946.5	2235.5	964	31136	5616.5	29837.5	3335	29154	3392
PU01088	A031P52	1644	2012.5	3599.5	2991	800.5	1411.5	881	2097	2271.5	1862	1609.5	1142.5	1092	1575.5	1510.5	1552	2400	2213	1496.5	1891	1040.5	1048	885	882.5	2021	1311.5	1349.5	907.5	1476.5	788	469.5	293.5	1546	1495	803.5	2950	977.5	1869.5	907	1941
PU00898	A031P35	252.5	467	856.5	780.5	1054.5	2091.5	1023	2281.5	494	530.5	381	277.5	1126	2094	1673	1705.5	614	811	197	394.5	1122.5	1388	1075	1272	325.5	229.5	1389	1070	1525	943	502.5	419	304	470	1063	2620.5	999	1620.5	1021	1743.5
PU01082	A030P05	759.5	1111.5	2285	1955.5	8758	6882	8393	8106	1359	1332.5	1429.5	798.5	8917	7172.5	14018.5	5792	1458	2550	722.5	1338	8796	8385	8337.5	8403.5	1418	2235.5	12640.5	29090.5	13926.5	24080	4671.5	10127.5	1290	1585	9674.5	17752.5	9905.5	11186	9847	11921
PU00892	A029P77	7902	13817	14798	20157	30522.5	54850	29816	65535	8452.5	12020.5	9931	10105	37067.5	64346.5	52136	65375	9005.5	11479	5928.5	8639	38956.5	33808	36032	30465	9822	5350	53602.5	15188.5	59978.5	12948.5	22841.5	6127	7455	5105.5	44549.5	21101.5	42326.5	12033	43267.5	12812.5
PU00718	A019P05	1323.5	2960.5	2646.5	4118.5	11450	24647	10845.5	31246.5	1583.5	2551	1942.5	2317	12441	27349.5	19806.5	27915	1686	2082.5	1058.5	1467.5	12000.5	10308	10873.5	9028	1644	581	17259.5	3007	19619	2668.5	7204.5	1191.5	1717	903.5	10978.5	5373.5	13057	3547	13727.5	3804.5
PU00526	A018P80	1468	2041	2970.5	3065.5	4138.5	7431	4233	7921.5	1896	1841	2001	1447	4290	8069	6790.5	6968.5	2145	2592	1574	1876.5	3844.5	4682.5	3871.5	4691.5	1880.5	1309.5	5556.5	5036	6400	4301	2559.5	2035.5	1703	1687.5	3776	7758.5	4435	4936	4576	5578
PU00712	A018P29	2434	2893	4180	3573	320.5	565	324	895.5	2596	2366.5	2941.5	1730	378	493	529	697	3006	2716	2273	2560.5	307	344.5	258	278.5	2361.5	1914.5	476	530	521.5	386	112	134.5	2205	2023	381	902	361.5	597	365.5	645.5
PU00520	A018P22	909	1372	1947	1881	1104.5	2629.5	898	4254	1105	1022.5	1362.5	928	1039.5	2499	1715	4184	1186	1026	950	917.5	892	274	923.5	303.5	1030.5	773.5	1562	214	1785.5	186.5	613.5	58	1068.5	929	1098	356.5	1129.5	175	1150	123.5
PU00706	A017P59	0	14	56.5	90	34.5	112.5	104.5	975.5	0	48	0	0	101	159	237	611.5	5.5	59.5	0	18.5	55	33.5	8.5	12.5	1	28	141	81.5	164	52	0	3.5	0	46.5	57	42	102.5	66	30.5	27
PU00514	A017P51	221	463.5	1035.5	985.5	295.5	876	411	1018.5	704.5	609.5	303	133.5	453	941	581	648.5	919	708.5	359.5	552	450	586	333	443.5	536.5	436.5	484	392	636	315.5	92	69.5	390	448	394	623.5	400.5	429.5	282	298.5
PU00700	A017P16	3752.5	3630.5	7683	4953.5	15928	12547	19653	9962	4742.5	3794	2502	1731.5	18413.5	14551	27192.5	6732	6779.5	8625.5	3356.5	6132	19023.5	37028.5	16321	29751	5294.5	5905	21708	43290.5	24733	38665.5	9732.5	18401.5	3811.5	2920.5	21434	14239	19544.5	8976.5	18092.5	8574
PU00508	A017P10	2020.5	870.5	4856	1711.5	22327	1722	24968	2045.5	2908	1189	2863	625.5	26075.5	1763.5	37722.5	1340	3185.5	2711.5	1660.5	1608	27200.5	10055.5	22267.5	7914.5	3651	8022.5	24864	65449.5	28206	62737	11241.5	36059	2497.5	4344	22254	59593	22788.5	42989.5	21064	39469
PU00334	A010P38	1289	860.5	3100.5	1794.5	15745	5299	16318.5	7216	1950	1119	1840.5	821.5	16007	5774	24585	4188.5	1797	1627.5	1199	993.5	16083.5	5086.5	15511.5	4976.5	1738	751	21856.5	6377	24814	5489.5	8222	2257	1993	6787	15988.5	65535	15952	60130.5	15428	65535
PU00142	A010P30	494.5	980.5	1432.5	1846.5	3867.5	6953.5	4341.5	9496.5	679.5	1007	754	906	4427	6823.5	7106.5	7260.5	695	1251	397	834.5	4411.5	4344.5	3866	3808.5	665	535.5	6137	4398.5	6737.5	3817	2234.5	1657	707.5	660.5	3915	4653.5	4224.5	2880.5	4367.5	2818
PU00328	A009P64	206.5	299.5	700	845.5	2857	4095	2496.5	4837.5	331	474.5	402.5	352	2721.5	3873	4315	3348.5	344	576	98	334	2601	2823.5	2622	2939.5	358.5	399.5	4004.5	3921	4036	3206	1362.5	1344	351.5	640	2627	7834	2764.5	5000.5	2989.5	5752.5
PU00136	A009P53	708	940.5	1562.5	1714.5	5135	6524	6134	9055	908	988	887	728	5824.5	7228.5	8931	6787.5	551.5	1274.5	489.5	1051	5121	6819	6060	8054	916	1311.5	5609	11195	5940.5	9192	2575.5	5097	631	474	4422.5	2873.5	4613	1634	5915	1889
PU00322	A008P72	99.5	208	716	667	501	321	572	415	427.5	495.5	332.5	118.5	602.5	571.5	985	341	398.5	902	205.5	412	529.5	782	517.5	805	386.5	454.5	915	2183.5	1022.5	1980	246.5	742.5	428	407.5	571	378.5	585.5	165	503	91
PU00130	A008P67	2975	4573	5482.5	7241.5	21290.5	28616.5	19949.5	45555.5	3509	4138.5	3835.5	3096.5	23181	31722.5	31991.5	36403.5	3878.5	5072	2404.5	3441.5	20414.5	18484	19693.5	17768	3391.5	2904	28585	27342	34397.5	24726.5	12526	11455.5	3377	3984	20625.5	46699.5	23837.5	29174.5	23535.5	30471.5
PU00316	A008P20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
PU00124	A008P10	0	62	151.5	291	923	1410	882	1341	43.5	116.5	94.5	0	1052.5	1403.5	1455.5	1172.5	110	265	2.5	83.5	842.5	1383	749	1175.5	38	71	1012	1303	1224	1291	471.5	704.5	0	53.5	1243.5	1019	1078.5	511.5	955.5	532
PU13514	F130P37	38247.5	42043.5	50781	44209	1539	2036	1172	1849	32467.5	27508.5	58643	36434	1392	2066.5	2147	1613.5	29958	31895.5	39948	39404	1120	1421	1440.5	1938.5	43529.5	33471	1687.5	3416.5	2008.5	2931.5	994	1762	50895.5	45181.5	789.5	2142	2038.5	2210	1747	2007.5
PU13377	F129P85	0	14.5	209.5	354	0	10	0	17.5	0	71.5	41	0	44	178.5	19	38.5	0	386.5	0	27.5	0	30.5	0	8.5	9.5	48	0	33	3.5	43.5	0	9.5	0	89	0	48	0	35	0	19
PU13508	F128P82	50.5	165.5	250	371	360	711	265	674	110.5	194.5	225.5	176.5	407	756.5	521.5	629	254.5	483.5	107.5	152	274.5	427.5	407.5	544	214	210	477.5	569.5	403	395	254	286	309	448.5	251.5	865	543	736	529.5	698
PU13371	F128P51	121	288	270.5	446	820.5	1655.5	677	2067.5	93	298.5	273.5	207.5	936	1745	1215.5	1701.5	283	281	47.5	97	500	448	998.5	783	119.5	71.5	1083	624	1152.5	439.5	639.5	294.5	182.5	321	370.5	1271.5	1208	1410	1254	1544
PU13502	F127P19	155.5	266	427.5	400	394	598	266	458.5	166.5	275.5	381.5	316.5	475.5	781	692	505	420	512	194	327.5	357.5	550	441	670	298	330.5	335.5	639.5	617.5	694.5	279	491	356	398	318	497.5	565.5	437.5	506	328
PU13365	F126P75	0	10.5	44	3.5	0	8	0	19.5	0	45	26.5	0	21	132.5	13	41.5	18.5	78.5	0	21.5	0	42	0	25	0	43	0	43	0	47	0	10	0	76	8	44.5	0	25.5	0	15
PU13496	F125P66	774.5	1155	1367.5	1361	474	992.5	334	955	770.5	855.5	1026	786	479	1018	611.5	864.5	1252	1188.5	726.5	832	244.5	359	553.5	538	968.5	822.5	534.5	382	677.5	361	334.5	235	1241.5	1309	446.5	951	588.5	845.5	559	921.5
PU13359	F125P49	0	30	57.5	89	15	35	0	84.5	0	69.5	30.5	0	38.5	97.5	87	140.5	55.5	129.5	0	41	25.5	92.5	25	37	0	44.5	32.5	70.5	89.5	69	0	36	17	120.5	44	234	35	216	0	190.5
PU13221	F102P65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0
PU13029	F102P41	0	49.5	75	102	29	125.5	0	233.5	0	50.5	78.5	17.5	17	169	101	239.5	91.5	135.5	0	58	34.5	62	20	33	18.5	51.5	57	65.5	61.5	65	0	5	44	135.5	40.5	93	27	51	18	33.5
PU13215	F101P42	25.5	140	170.5	273	487	875	308.5	706.5	27	130	154	77	617.5	760.5	772	715.5	171	239	0.5	61	299	316	600.5	537	70.5	54.5	618.5	262.5	723.5	236	401.5	137.5	138.5	486.5	501	2464	615.5	1998.5	617	2418.5
PU13023	F101P25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0
PU13209	F100P26	0	31	67.5	61	0	15	0	15.5	0	43.5	130.5	10.5	48.5	137.5	7	59	34.5	227.5	5	55.5	0	52	0	14.5	47	77	4	47	4	53	0	15.5	65.5	177	0	108.5	0	53.5	0	17
PU13017	F099P84	75	199.5	316.5	396.5	416.5	482	254.5	495.5	134	175	254.5	160.5	425.5	619	656.5	503	147.5	538	121	185	280	337.5	348	434	198	176	511	548.5	599	413.5	283.5	276.5	236	525	267.5	2007	548	2178	435.5	2013.5
PU13203	F098P62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	2	0	0	0	0	0	0
PU13011	F098P54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1.5	0	0	0	0
PU12837	F050P70	55450.5	61681.5	65535	64662	66.5	251.5	32	272	50885	46887.5	65535	58858.5	211	419	200	380.5	64618	58544	52174.5	56887.5	126	175	92.5	95	60350.5	54419	77.5	94.5	294.5	278	55.5	88	65535	65535	139	353	127	164.5	51.5	77
PU12645	F050P54	108.5	296	362.5	487	842.5	1420	620	1063.5	162.5	408	270.5	267.5	815.5	1476.5	1124	907.5	360	471	76.5	193	564.5	697.5	847.5	1116	206.5	229.5	983	1018	1135	756.5	600	556	312	384	681.5	931.5	1106.5	813	957.5	848.5
PU12831	F049P63	0	56.5	105	38.5	96	342	69.5	265	8	83	48.5	3	168	348	141.5	294.5	75	131.5	0	54	28	96.5	104	106	20	41	164.5	120	176.5	88	49.5	51.5	35.5	183	117.5	482.5	202.5	364.5	153.5	377
PU12639	F049P42	412	963	909	1271	3834.5	13968.5	3039.5	8011.5	519	1163	621.5	1053.5	3879.5	13313	5453.5	8124	650.5	1037.5	262.5	469	2471.5	2868.5	4372.5	5126	444.5	153.5	4924	375	5288	281.5	3285	201.5	599.5	278.5	3638	258.5	5321.5	177.5	4669.5	199
PU12825	F048P10	0	7	0	0	0	5	0	7	0	23.5	0	0	0	0	0	16.5	0	60	0	11.5	0	17	0	6	0	19.5	0	13	0	17.5	0	1	0	44.5	0	19	0	5	0	1
PU12633	F047P83	28239.5	33991.5	24982	24370	69.5	200	62	312	25328.5	24815	38647	28605.5	159	349.5	205.5	272.5	39334	33051	26195.5	30834.5	198	234	83	107	34285.5	29188	188	188.5	337	307	85.5	119	41547.5	42439	220	443	192.5	325	37	135
PU12819	F046P22	110	240	329	465.5	1080	1723	555.5	1202.5	150.5	319	382.5	323	972.5	1879	1371	1444.5	354.5	497.5	126	275.5	582	686.5	1063.5	1249	154.5	139.5	1092.5	879	1249.5	653.5	787	595	320	414.5	895.5	1007	1116.5	729	1137	927.5
PU12627	F046P05	898.5	1296.5	1588	1690	72.5	222.5	69.5	301.5	946.5	990.5	1505	1232	127	315.5	225	287	1768	1441.5	873.5	1065.5	82.5	111	97	137.5	1297.5	1173.5	104.5	108	155	90	23.5	39	1526	1763	163.5	439	133.5	309	88	334
PU12453	F025P42	0	39.5	83.5	107	36.5	90.5	29.5	250.5	4	62	70.5	28	129	321	105	170	19.5	235	0	35	43.5	94.5	0	78.5	25	59	29	76	63.5	96	6.5	38	0	91.5	77	309.5	14	132	11	137.5
PU12261	F025P17	613	928.5	823	831	6790	7619	5397	8608	808	1015.5	971	851	5999.5	6904.5	9185	7291.5	676.5	1128.5	488	694.5	3722.5	3755.5	6699.5	6326.5	918	776	7513.5	8534.5	7689.5	6232	3819.5	4007.5	822	1638	3722	21077	8373.5	22363.5	7652	22701.5
PU12447	F024P12	0	13	52	57.5	0	13	0	24.5	0	50.5	71.5	0	34	55.5	39.5	68	20	154	0	25.5	0	37.5	0	11.5	19.5	33.5	0	37.5	0	22	0	11	0	64.5	0	58	0	25.5	0	29.5
PU12255	F023P78	7957	9727.5	10410.5	9068	122	243	62.5	309.5	6828	6455	9228	7111.5	129.5	265.5	164.5	248.5	10061	7348	7602	8327.5	56	101.5	83.5	96.5	8442.5	6686.5	152.5	110.5	184	105.5	28.5	42	8020.5	8064	77	458.5	163.5	399	77	326
PU12441	F022P67	47087	56109.5	54912	57756.5	363	716.5	272.5	842	39528	38037	56906.5	46581	528.5	860.5	658.5	843	58790.5	46416	40547.5	46169	427.5	451.5	396	353.5	45322.5	41965	394.5	363.5	745	511.5	358	272.5	61632	61789.5	500.5	1121.5	562	736.5	426	569
PU12249	F022P57	330	572	731	809	2385.5	3632.5	1818	2576	354	580.5	571.5	608	2435.5	3194	2896.5	2411.5	650	998	196	521.5	1382.5	2041.5	2385	3453	484.5	609	3149.5	4744.5	2962	3117.5	1621.5	2596	509.5	412.5	1841	1430	3221.5	1494	2822.5	1467.5
PU12435	F022P09	3741.5	4399.5	5183.5	4713	1628.5	2183	1352.5	1716	2994.5	2783.5	4941.5	3466.5	1541.5	1827.5	2295	1824	4456	3983	3099	3344	1088	1433	1742	2420.5	3851.5	3451	1993	3327	1955	2258	672	1356	4884.5	4660	1416	1660	2040	1713.5	1890.5	1695
PU12243	F021P86	154.5	312	390	430.5	0	35.5	0	38.5	108.5	223	291	179	4.5	89	32.5	82	419	476.5	162.5	221.5	0	63.5	0	25	330	312	2	49.5	11	33.5	0	10	418	621.5	12.5	105	0	72.5	0	76
PU12070	F006P45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2.5	0	0	0	0	0	0
PU11893	F006P27	8.5	63	252.5	336.5	0	27	0	57.5	28	91	165	56.5	56	97	54.5	93.5	127.5	195	42.5	78.5	47.5	94	0	44.5	94.5	75.5	13	55.5	51	60	0	11	134.5	203.5	34.5	105	26	110	0	49.5
PU12067	F005P01	0	9.5	0	29.5	0	19	0	16	0	28.5	10.5	0	1	37.5	26.5	49.5	20	91.5	0	31.5	14	51	0	15.5	0	22	0	50.5	13	38.5	0	3.5	0	60	1.5	57	1.5	46.5	0	16.5
PU11889	F004P76	133	290	401.5	466.5	1125	1504	683.5	1511.5	182	204	397.5	258.5	1203	1484	1634	1696	368.5	442	147	272	806	700	1187	1068.5	225.5	233	1283	1256.5	1568.5	1052	958	889.5	341	828.5	1206	5427	1275	3862.5	1125	4411
PU12061	F003P59	4222.5	4872	5685.5	5079	0	32.5	0	120	3644.5	2942.5	5944.5	3692	94.5	246	75.5	122	3800	4019	4321	4439.5	15	86.5	0	30	5362	3880.5	25.5	90.5	76.5	118.5	5.5	55	4355.5	4260.5	68.5	296	28	113.5	0	72
PU11883	F003P45	40474.5	54857.5	58483.5	58094.5	766	1263	541.5	1182.5	42385	38654	56074.5	42142	648.5	1163.5	1083.5	1115	35990.5	40516	38369.5	43292.5	587	809.5	641	909	52409.5	40897	887	935	1033	787	446.5	447.5	51873	53496.5	533.5	1494.5	850	1286	708.5	1111.5
PU12055	F002P68	591.5	809	1043.5	1105.5	0	23	0	42	654.5	762.5	819	612.5	60.5	181	67	102.5	959	1033	491.5	681	4.5	70	0	20.5	880	789	10.5	84	26	57	0	22.5	1048.5	1262.5	0	173	0	86	0	33.5
PU11877	F002P41	244.5	638.5	589.5	876	1513.5	2859	1138.5	3553	271	589	483	476.5	1429	2673	2360	3399	480.5	610	183	349	860	870.5	1524	1536.5	313	255.5	2068.5	1208	1955.5	768.5	1079	558	398.5	374	1207	755.5	2133	769.5	1189	736
PU11713	I076P62	774	1092.5	1595	1473	84	152	38.5	115	979	1006.5	936	639	117	102.5	212	175.5	1651.5	1378	789	1042	21.5	103.5	80.5	144	1079.5	959	151	339	162	290.5	35	191.5	984	1051	34.5	308	177	275	111	248.5
PU11521	I076P50	10148.5	11913	12933	12775.5	0	6.5	0	21	7664	8208.5	12119	9555.5	0	62.5	21	73.5	11220.5	10491	6201.5	7955.5	0	37.5	0	14.5	8800	8377	0	36	0	35	0	12.5	8441.5	9122	6.5	79.5	0	61.5	0	38
PU11707	I075P90	27311.5	33165.5	38057	39321	42.5	86	1	68.5	23777.5	25173	33701	27659.5	32	81	140.5	147	31387	29070	20848	25841	25	44	28.5	73.5	25617.5	24240	88	125	101.5	123.5	4	50	29627.5	33679.5	63	477.5	52.5	259	11	268
PU11515	I075P82	1500	2124.5	2433	2444.5	0	1	0	4.5	1528	1629.5	2062.5	1491.5	0	0	0	12	2435.5	2177.5	1318	1548	0	4.5	0	4	1802.5	1594	0	22.5	0	15	0	1.5	1646	1741.5	0	16	0	32	0	1
PU11701	I075P21	14513	18401	21589.5	20961.5	0	7.5	0	11.5	12608	12936.5	19761.5	15581.5	0	5	7	36.5	17427.5	16443	10891.5	13538	0	15	0	9	14140.5	13406.5	0	54.5	8	29	0	7	15034	16298.5	0	49	0	42.5	0	21.5
PU11509	I074P91	2727	3558	4337.5	4663.5	732	1083.5	351.5	616	3234.5	3376.5	3188.5	2648	755.5	861	1078.5	836	4411.5	4498	2143	2842	386	519.5	756	1089	3107	2572	900	1188	913	731.5	566.5	677	2759.5	3195.5	652.5	1688.5	849.5	1387.5	823	1708
PU11695	I074P23	940.5	1120	1728.5	1846.5	0	2.5	0	17	719.5	812	1200	818	0	10	0	53.5	1783	1636.5	900.5	1209	0	32.5	0	3.5	1133	935.5	0	17.5	0	12.5	0	3	1173.5	1190	0	29.5	0	26	0	10
PU11503	I074P04	10381	13702	14951.5	15714.5	0	7.5	0	35	9370.5	10316.5	16579	12483.5	0	0	29	84.5	15301	13707.5	8798	10133.5	0	26	0	14	12143.5	10650.5	18	32.5	31.5	42.5	0	7	9876	10852	7.5	251	0	147	0	84.5
PU11329	I063P59	1257.5	1635.5	2697.5	2707.5	0	18.5	0	11	1632	1571	1480.5	857.5	39.5	108	22.5	60	1664	2017	1371	1543	0	67	0	18	1635	1339	0	59.5	35	41.5	0	23	1448.5	1518.5	32.5	180	0.5	117	0	33.5
PU11137	I063P48	44086	52889	61144	61541	702	796.5	455	484	39783	37750	61031.5	47896.5	636	744	1116.5	545.5	32415	38978.5	35778	42142	451.5	912.5	522.5	1173	51153	43411	1029.5	2163	1081.5	1655	491.5	1112.5	49728.5	52756	517.5	914.5	962.5	771	823	741.5
PU11323	I062P62	32202.5	40135.5	47245.5	47741	45.5	54	0	149.5	29000.5	29370	43533.5	33756.5	61.5	146	151.5	209.5	30589.5	32796	28279	32501	16	86	26.5	67	35187	31364.5	101.5	88.5	106.5	73.5	22	31.5	37847	38627	36.5	621	80	365.5	44.5	354
PU11131	I062P44	2877	3682	5027.5	4839	0	2.5	0	12.5	3417	3715	2684	2238.5	0	32.5	0	42	5111.5	4334.5	2457	3013	0	20.5	0	5.5	2955.5	2567.5	0	32	10	17.5	0	3.5	2407.5	2545	0	51	0	37	0	15
PU11317	I061P71	20966.5	25681	29915.5	30035	116.5	223.5	55	234	16880.5	18237	25828.5	21826.5	220.5	323.5	205.5	285	27828.5	23198.5	15673	18665.5	107	123.5	128.5	151.5	22222.5	20652.5	107.5	128	268.5	158	75	86.5	22710	23825	139	887.5	166.5	597.5	55.5	436
PU11125	I061P44	2539	3256	5047	4993	0	3	0	17	3103	3379	2581	2108.5	0	13	22.5	49	4538	4049	1987	2557	0	23	0	9	2499	2279.5	0.5	54.5	0	23.5	0	10.5	2250	2547	0	47	0	53.5	0	59.5
PU11311	I060P15	26756.5	31298	40452.5	39522.5	0	5	0	10.5	23289	23863.5	35189	28090.5	0	0	0	31.5	31097	28657.5	18207.5	22812	0	17.5	0	18.5	25001	23779.5	0	57.5	6	49	0	16	29123	30737.5	0	57	0	44	0	25
PU11119	I059P90	975	1385	2150	2036.5	1	31	0	28.5	1231.5	1426	1314	975	0	29	31.5	67.5	1860	1671	977	1207	0	35	0	17.5	1227	1021.5	17.5	58	27.5	52	0	6	1220	1432.5	9.5	180	11.5	177	0	151
PU10945	I046P62	3568.5	4786	5407	5371	92	169.5	52	161	4184	4327.5	3468	2405	94	154	223.5	231.5	5996	5594.5	2889.5	3344	59.5	100.5	90.5	89.5	3520.5	2824	127.5	176	110	122.5	24	73	2832	3033.5	178	688	171.5	520.5	68	328
PU10753	I046P43	15526.5	19996	22510.5	24321.5	0	14	0	36	15677	17017.5	21338	15795.5	0	31.5	40	56	21443.5	21821.5	12597	15901.5	0	35	0	40	16239.5	14553.5	6	50	18.5	32.5	0	6	12640.5	15910.5	0	41	0	47	0	55
PU10939	I045P61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	4.5	0	0	0	0	0	0
PU10747	I045P43	1935	2737	3328	3720.5	377	740.5	218	309	2425.5	2956	1910	1653	379	535.5	553.5	409.5	3687	3547.5	1499	2128.5	266.5	334	352.5	576.5	1891.5	1659	513	505	496	321.5	310.5	298.5	1765	2171.5	368	1265.5	394	890	309.5	864.5
PU10933	I044P55	5185	6559.5	8230.5	7488	207.5	366.5	83	344.5	6348	6074	5110.5	3487	168	307	353	377.5	5184	6086.5	4243	4842	119	204.5	101.5	176	5078	4030.5	279	204.5	286.5	194.5	52.5	56.5	2434	4243	120	569.5	195	366.5	177.5	370
PU10741	I044P29	4517.5	6155	7065	7095	153.5	234.5	75.5	319	4761	5317	4921.5	3669.5	107.5	145.5	332.5	310.5	4524.5	5651.5	3720	5010	55.5	92	48	83	4697	3894.5	265	165	189	61	42	50.5	2821	3601	57	868.5	138.5	564.5	142	719
PU10927	I043P15	21881.5	27500.5	31034.5	31935.5	1180	1018	880.5	811.5	19366.5	21287	24378.5	19868.5	988	861.5	1715	786	22503	26101	18103	22625	912	1032	1043.5	1266.5	21697.5	20375.5	1466	2874.5	1168.5	1777	776	1583	16024	21229.5	745.5	4855	1413.5	4925	1013.5	4111
PU10735	I042P87	16816	20260.5	21884.5	22087	70.5	251	36	140	15557	17176.5	19114.5	14292.5	94.5	230	253	245.5	21047.5	18842	13288.5	16295	41.5	121	55.5	120.5	15675.5	13874	170.5	441.5	141	254	20.5	157.5	11506.5	14083	85.5	189.5	57	132.5	44	130
PU10561	I025P02	14645	17253	19104	18867.5	1132	1503.5	713	1204	11096	11277	18761.5	15000	1053.5	1424	1240	1277	18878.5	15574.5	11004.5	13343	568	672.5	1075	1166.5	15017	13657.5	1389	653.5	1545.5	515	886	338	14289	14985.5	815.5	4018.5	1497	4255.5	1079	4408.5
PU10369	I024P69	2754.5	3414.5	4274.5	4467	0	5	0	9.5	2453.5	2777	3179	2498	0	20.5	0	39	4415.5	3988.5	2149.5	2925	0	11.5	0	3.5	2812	2754	0	14.5	0	30	0	9.5	2595.5	3065	1.5	106	0	54.5	0	34.5
PU10555	I023P78	2614	3344.5	5229.5	4801	0	4	0	6.5	2945	2936.5	2740	2043	0	0	1.5	26.5	4174	3780	2173	2519.5	0	31.5	0	13	2556	2264.5	0	23	0	32	0	7	2525	2682	0	62.5	0	62.5	0	46
PU10363	I023P89	48052	59800.5	65535	65535	23	94	13.5	65	42976	46913	65456.5	59847	67	154.5	125.5	131.5	65535	63253	40166	48518	56	114.5	31.5	50	54923.5	52197.5	86	128	127	123	29.5	62.5	62324	65518	104.5	526	51.5	225.5	20	224
