reporter	gene	a15234.R	a15234.G	a15235.R	a15235.G	a15236.R	a15236.G	a15237.R	a15237.G	a15238.R	a15238.G	a15239.R	a15239.G	a15240.R	a15240.G	a15241.R	a15241.G	a15242.R	a15242.G	a15243.R	a15243.G	a15244.R	a15244.G	a15245.R	a15245.G	a15246.R	a15246.G	a15247.R	a15247.G	a15248.R	a15248.G	a15249.R	a15249.G	a15250.R	a15250.G	a15251.R	a15251.G	a15252.R	a15252.G	a15253.R	a15253.G
PU13176	F103P24	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	8	0	0	0	0	0	24	0	0	0	0	0	0
PU12984	F103P12	0	0	0	0	0	0	0	0.5	0	0	30.5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	11.5	0	0.5	0	0	0	0
PU12810	F059P88	203	217	719.5	440.5	620	922.5	739	946	356.5	269	467.5	177.5	677.5	1021.5	949	645.5	656.5	554	287	276	987.5	815.5	564	435.5	561	608	648.5	758.5	845	710	448.5	561	322.5	1120	887	3304.5	538.5	1755.5	514	2104.5
PU12618	F059P63	14350.5	19497	16341	17708	2734.5	5389	4433	11316	14959	13605	15059	12354	2330	3921.5	3293	5005	18420	15455.5	11563.5	15105.5	2284	2035.5	3542.5	4599	15596	13050.5	1541	853	1757	827	986	553.5	7594	8433	2308	1865.5	1648	911	3054.5	1296.5
PU12804	F057P31	188	294	516	556.5	49.5	174	98.5	343	144	146.5	523	273.5	177.5	412	193.5	296	505	437	31	108	242.5	306.5	30.5	88	321.5	278	110.5	134	276	260	55	79	276.5	355	305	746.5	151.5	299.5	35	204
PU12612	F057P07	7966	13374	17969	16464	6682.5	10967.5	7519	15974	10799	8984	15238	11052	8660	13617.5	10373.5	10718.5	15084.5	11972.5	5979.5	7237	12046	12924.5	6565.5	6957.5	13450	10051.5	8972	6262.5	11994	6361	7252.5	5206.5	9552.5	10003	11928	18112	7450	9325.5	6625.5	9821.5
PU12798	F053P15	62	120	413.5	522.5	258	449.5	295	553.5	83	214	438.5	244	317	582.5	444	325.5	367	382	30.5	140.5	461	703	224.5	351.5	295.5	198.5	376.5	367	487.5	362.5	178	233.5	349	527.5	494.5	1631	271	714	232.5	764.5
PU12606	F052P72	2048.5	4847.5	8125.5	9654	54.5	275	140	684	2291.5	2829	5117	4533	105	356	143.5	363	6798.5	6691.5	1190.5	2284	114	191.5	109	263	4928	4531.5	87	132	139.5	146.5	0	37	2058.5	3012.5	163.5	389.5	87	194.5	61.5	316
PU12792	F051P62	290	611	948	1166	165	352	185.5	532.5	407	565	545	378.5	289.5	481	322.5	386.5	818	853.5	145	339	313	365.5	129.5	193	616.5	551.5	205.5	214	352	258	70.5	88.5	415.5	590.5	347.5	705.5	209	398	97.5	288.5
PU12600	F051P24	8.5	72.5	260	277.5	335	581.5	312	687.5	67	85.5	133.5	48.5	473	919	615	615	165.5	193.5	0	29.5	581	638	195.5	282	83.5	92.5	246.5	268.5	644	538.5	116.5	184.5	110.5	236	547.5	912	482.5	608	234	429
PU12426	F028P85	128.5	307	792.5	977.5	822	1428	1106	2649.5	350	417	382.5	236.5	1094.5	1921	1369.5	1231	493.5	541.5	185.5	366.5	1793	1438	1113	1012	404.5	299.5	1224	730.5	1468	766	917	636	302.5	587	1056.5	4788.5	902	2434	850.5	2383
PU12234	F028P71	25.5	167	332	506.5	429	924.5	592	2407.5	117.5	138	157	81.5	647	1270.5	498	1100	150.5	210	21.5	105	1324	827.5	486	292	163.5	103	666	218	918	245	488.5	136.5	99	236.5	983.5	1451.5	462	603.5	458	541.5
PU12420	F027P95	6	55.5	215.5	321.5	477	786.5	555	910	61	94.5	32	11	668	1120.5	857	730	93	265.5	5	103.5	1013	1205.5	494.5	559.5	94	128.5	687.5	704	897.5	802	447	538	77.5	208.5	929.5	1783.5	547	985.5	446	869
PU12228	F027P83	54	302	389	918.5	582.5	453	708	6461.5	69.5	96.5	126.5	1	649.5	591.5	748	3306	219	149	9.5	34	1375	70	673.5	58.5	111	88	688	53.5	861.5	49.5	510.5	16	108	181.5	1062.5	133	543.5	49	578.5	37
PU12414	F026P84	15407.5	14999.5	19990	17913.5	739.5	1319	901	1750.5	12536.5	9703.5	18461.5	12298	938	1651.5	1158	1065.5	13923.5	11124.5	11047	12593	1584	1505.5	784	789.5	15058.5	12368.5	938	1442.5	1301.5	1417	691	1128.5	13513	12040.5	1328.5	2743.5	770	1327.5	739	1307.5
PU12222	F026P71	294	909	497.5	896.5	2214	5063.5	2522.5	5963.5	494.5	795	653.5	724	2893	6549.5	3413	4627.5	753.5	922	241.5	541	4536.5	5534	2341	3132.5	661	405	3409	1778.5	4226	1617	2524	1402.5	533	496	4742	4246	3145.5	2074	2693.5	2000.5
PU12408	F026P11	861	984	1602.5	1417	3228.5	4297	3596	4910.5	1042	979.5	1130.5	840.5	3480	4661	3483.5	2664.5	1379	1376	370	662.5	6260	6231.5	2881.5	2720	1132	816	3542	2914	4773.5	2941	3059.5	2424	741	1635.5	5237	14800.5	2907.5	8028	2721	7468.5
PU12216	F025P83	61665	62553.5	62158.5	60388.5	298	605	320.5	1037.5	45189	39019.5	65535	56874	604	1058	733.5	868	65320	50001	30869	33149	973	1027.5	362.5	450	64056.5	52299.5	784.5	893.5	1378.5	1181	517.5	642	44001	43767.5	930	1581.5	747.5	1027	276.5	349
PU12046	F011P67	4369	8154.5	8668.5	11565	33632	60477.5	30295	63185	4943	7105.5	5807	6626.5	29720.5	47294	35379.5	40380.5	5996.5	9547	2288.5	4844.5	43273.5	59522.5	32010	44992	8514.5	4290.5	43342.5	17040.5	56058.5	18032.5	32572.5	13947.5	3876.5	4032.5	48037	52184.5	27675	23209	32190.5	25765
PU11868	F011P41	1435.5	3423.5	4426	5939.5	27685	48167.5	33188	59857.5	2272.5	3411.5	2916.5	3491	28145.5	39787.5	27594.5	27788.5	3092	4860.5	808	2095.5	38261	55449	29941	39311	3530	4311.5	24624.5	34164	27831	30786	22605	30838	1530	1379.5	40486	21323.5	22317.5	9519	23453.5	10621.5
PU12040	F010P66	15754	25694.5	35922.5	32605	266	590	318.5	721.5	21318.5	16557.5	31376.5	22794.5	340	766	440	426.5	31657	23232.5	9640	12907	504	680.5	184.5	294.5	24290	21221.5	325.5	347.5	537.5	386	184.5	183	13139.5	14828.5	495.5	890	316.5	449	246.5	423
PU11862	F010P45	46592	56052.5	65535	65346	289	634.5	297	1101	42978	35857	65100.5	45462.5	276	722.5	365	614.5	61960	47954.5	19473.5	24142	546	544	193	206	55129	47523.5	303	154	507	248	150	75	44286	47306	524.5	759	348.5	405	160.5	293.5
PU12034	F008P48	2535	3587.5	5498.5	5182.5	5	142.5	63.5	433.5	2559.5	2064.5	2546	1883.5	130	307	177.5	240	3623	3082.5	2658.5	3338.5	211	143.5	18.5	33	3547.5	2972	91.5	88	197	200	18	55.5	1434	1503.5	124	355.5	46	135.5	9.5	108.5
PU11856	F008P34	23034.5	23139.5	34629.5	28535.5	5.5	89.5	16.5	199.5	19703	13617	28720.5	17395	53	151.5	87	121.5	23694	17471	19198.5	19581	130.5	160.5	10	39	25196.5	17857.5	84	137.5	189.5	183	19	69.5	18123	15562	147	521	23.5	196	0	165.5
PU12028	F007P15	0	4.5	0	12.5	0	20.5	0	59	0	25	0	0	0	14	20	71.5	0	44.5	0	12.5	0	59	0	19.5	0	78	0	19	22.5	37	0	10	0	38.5	0	45	0	52.5	0	18.5
PU11850	F007P09	52	103	332	383	326	1028.5	409.5	1649	96	153	256.5	127	397	1261.5	475.5	816.5	133	217	30.5	118	1021.5	963.5	373	409.5	125.5	98.5	439.5	189	642	249.5	280.5	105.5	130	223	784	268.5	367	131	277	87
PU11686	I079P40	49769.5	65535	65535	65535	267.5	708	385	916.5	65535	64439.5	65535	65535	346.5	840.5	479.5	508	65535	65535	53055.5	65478	584.5	754.5	291	419.5	65535	65535	412.5	342	539	359	252.5	204.5	63767.5	64798.5	493.5	840.5	307.5	403	224	418
PU11494	I079P18	45045.5	57324.5	52941	52218	839.5	1063.5	913	1506	44285	39780.5	58364	47879	994.5	1319	1184.5	920.5	53206.5	47676.5	37077.5	44112	1633	1698	670.5	765	55993	47877	1139	1188.5	1593	1301	912	1039	35932	39529.5	1501.5	4239.5	921.5	2085.5	762	1918.5
PU11680	I078P60	1744	2582.5	3504	3949	7.5	79.5	77.5	251	1592.5	1704	3235	2792	109	193.5	123.5	138.5	2525	2540	500.5	874.5	70.5	135	6	47	2805	2624.5	75.5	89	87.5	90	0.5	45	1897	2536.5	120	361.5	15.5	172.5	10	132.5
PU11488	I078P49	60851	64753	62656.5	65535	265	539	251.5	946	49919	47026.5	64871	54859.5	309	602	381	536.5	62635	56536.5	24038.5	30649.5	546.5	552	161.5	157.5	61061.5	51211.5	318.5	261	531	296	205	137.5	41917.5	46960	485.5	1053.5	316.5	544	195.5	447
